Period,Team,Player,Type,X,Y,TIme,Strength
3,MSU,11,Block,33.56,22.17,8:41,EVEN
3,MSU,22,Goal,46.89,21.06,7:40,EVEN
3,OSU,21,Shot,-32.89,-25.61,5:31,EVEN
3,MSU,20,Shot,77.33,17.72,5:04,EVEN
3,MSU,21,Shot,72.44,20.61,4:17,EVEN
3,MSU,20,Goal,22.67,-12.28,3:22,EN
3,OSU,9,Shot,0.22,-12.5,3:10,EVEN
3,OSU,15,Block,-61.78,31.94,1:30,EVEN
3,MSU,13,Shot,66.67,-1.83,1:13,EVEN
3,MSU,26,Shot,73.33,-16.28,1:02,EVEN
3,MSU,26,Shot,81.78,-4.28,0:57,EVEN
3,MSU,20,Shot,54.89,11.28,0:25,EVEN
3,MSU,7,Block,73.33,-0.28,0:09,EVEN
