Period,Team,Player,Type,X,Y,Time,Strength
2,BC,4,Block,63.75,-3.00,18:30,EVEN
2,BC,7,Shot,37.75,-28.50,18:22,EVEN
2,BC,10,Shot,86.50,-5.25,18:27,EVEN
2,BC,8,Shot,35.00,12.25,18:22,EVEN
2,BC,22,Goal,84.00,1.25,18:14,EVEN
2,BC,15,Shot,78.25,2.75,16:35,EVEN
2,BC,17,Block,32.75,0.25,16:25,EVEN
2,MSU,15,Block,-39.50,-20.00,15:50,EVEN
2,BC,9,Shot,43.75,18.00,14:39,EVEN
2,MSU,10,Block,-73.25,15.00,13:51,EVEN
2,BC,27,Shot,64.75,-1.75,13:09,EVEN
2,BC,26,Shot,38.50,-31.50,12:37,EVEN
2,BC,19,Shot,49.75,35.25,12:19,EVEN
2,BC,22,Goal,79.00,-7.25,12:00,EVEN
2,MSU,10,Miss,-66.25,-37.50,11:56,EVEN
2,MSU,9,Block,-34.50,23.25,11:56,EVEN
2,MSU,17,Shot,-34.50,27.00,11:56,EVEN
2,MSU,22,Shot,-75.50,-17.50,11:11,EVEN
2,BC,9,Miss,57.25,9.00,9:59,EVEN
2,BC,8,Block,64.50,-16.00,9:23,EVEN
2,BC,9,Shot,75.50,8.75,8:54,PK
2,BC,15,Block,72.25,5.75,8:54,PK
2,BC,15,Block,70.50,18.75,8:54,PK
2,MSU,9,Shot,-53.25,33.25,8:54,PK
2,MSU,15,Shot,-85.75,3.25,8:54,PK
2,BC,24,Shot,40.50,27.00,8:07,PK
2,BC,20,Shot,82.75,3.25,8:03,PK
2,MSU,22,Shot,-54.50,-19.75,7:32,EVEN
2,MSU,7,Shot,-36.75,-31.25,7:00,EVEN
2,BC,24,Block,58.50,12.50,6:28,EVEN
2,BC,26,Block,73.25,5.75,4:37,EVEN
2,BC,9,Shot,86.75,4.50,4:32,EVEN
2,BC,26,Block,53.75,15.00,4:13,EVEN
2,BC,7,Block,29.25,30.25,1:50,EVEN
2,MSU,28,Block,-73.25,4.75,1:31,EVEN
2,MSU,9,Miss,-65.00,38.50,1:25,EVEN
2,BC,34,Shot,87.00,-5.00,1:05,EVEN
2,BC,9,Miss,68.75,3.50,0:59,EVEN
2,MSU,23,Shot,-85.50,2.25,0:54,EVEN
2,BC,15,Goal,80.50,-9.75,0:24,EVEN
