Period,Team,Player,Type,X,Y,Time,Strength
3,MSU,15,Shot,58.00,26.75,18:59,EVEN
3,MSU,16,Miss,32.25,29.50,18:51,EVEN
3,MSU,7,Miss,50.75,-38.00,18:38,EA
3,MSU,28,Block,38.75,19.25,18:18,PP
3,MSU,8,Block,35.00,-0.25,17:37,PP
3,MSU,29,Miss,41.75,-24.00,16:55,PP
3,BC,19,Block,-71.50,6.50,16:50,PP
3,MSU,9,Shot,77.25,-24.00,16:37,PP
3,BC,20,Block,-56.25,10.00,15:13,EVEN
3,MSU,8,Shot,31.75,-35.25,14:27,EVEN
3,MSU,18,Miss,52.50,-23.25,14:19,EVEN
3,BC,34,Shot,-87.25,-4.75,13:40,EVEN
3,MSU,22,Shot,63.25,-0.75,13:00,EVEN
3,MSU,10,Shot,83.75,-7.00,12:31,EVEN
3,MSU,18,Shot,83.75,-3.75,11:42,EVEN
3,MSU,11,Miss,65.00,38.50,11:33,EVEN
3,MSU,20,Shot,80.75,8.00,10:50,PP
3,MSU,8,Miss,36.25,-4.75,9:49,PP
3,MSU,21,Miss,83.50,2.25,9:37,PP
3,MSU,18,Block,61.00,36.50,9:05,EVEN
3,BC,11,Miss,-33.50,24.50,8:43,EVEN
3,BC,34,Shot,-67.75,10.50,8:19,EVEN
3,MSU,9,Shot,59.50,19.75,8:15,EVEN
3,BC,27,Shot,-58.00,34.00,7:36,EVEN
3,MSU,8,Miss,31.75,-30.50,7:12,EVEN
3,MSU,29,Miss,59.50,9.25,6:35,EVEN
3,BC,26,Shot,-81.50,10.25,5:47,EVEN
3,BC,15,Miss,-81.00,-11.00,5:08,EVEN
3,MSU,21,Block,55.50,13.50,2:48,EVEN
3,BC,10,Miss,-61.50,4.75,2:24,EVEN
3,BC,24,Shot,-79.00,6.50,2:21,EVEN
3,MSU,11,Shot,69.00,-18.50,2:09,EVEN
3,BC,24,Miss,-82.00,-4.75,1:47,EVEN
3,MSU,8,Miss,32.75,-39.75,1:01,EVEN
3,MSU,2,Shot,39.50,27.75,1:00,EVEN
3,MSU,7,Miss,31.50,18.00,0:09,EVEN
