Period,Team,Player,Type,X,Y,Time,Strength
2,MSU,27,Shot,-35.00,-0.25,19:01,EVEN
2,MSU,29,Goal,-65.25,13.00,18:46,EVEN
2,MSU,26,Miss,-58.00,7.75,16:46,EVEN
2,MSU,13,Block,-70.00,-10.50,16:07,EVEN
2,ND,27,Miss,74.25,6.50,15:29,EVEN
2,MSU,8,Shot,-56.00,21.25,14:51,EVEN
2,MSU,18,Shot,-81.50,-2.50,14:28,EVEN
2,MSU,23,Shot,-45.00,-14.50,13:42,EVEN
2,MSU,10,Shot,-65.75,17.00,13:28,EVEN
2,MSU,21,Miss,-83.50,-13.00,13:13,EVEN
2,MSU,11,Shot,-33.50,-31.25,13:00,EVEN
2,ND,14,Shot,57.50,18.25,12:16,PK
2,ND,8,Block,69.50,-14.50,11:14,PK
2,ND,4,Block,60.75,15.75,11:11,PK
2,ND,8,Shot,77.25,-12.25,9:48,PK
2,ND,27,Shot,86.75,8.75,9:39,PK
2,ND,24,Goal,82.25,1.25,7:01,EVEN
2,ND,10,Shot,68.50,-0.50,6:00,EVEN
2,ND,10,Shot,86.75,-6.25,5:58,EVEN
2,ND,10,Shot,85.75,4.75,5:46,EVEN
2,ND,28,Shot,69.25,29.50,5:38,EVEN
2,MSU,2,Miss,-31.75,-22.75,5:12,EVEN
2,MSU,15,Shot,-59.50,-18.00,4:33,EVEN
2,MSU,23,Miss,-61.00,27.75,3:50,EVEN
2,ND,25,Miss,80.00,26.00,3:20,EVEN
2,MSU,28,Block,-70.50,25.00,2:05,EVEN
2,MSU,20,Goal,-52.50,-4.00,1:55,EVEN
2,ND,27,Shot,68.50,9.00,1:20,EVEN
2,ND,27,Shot,88.25,4.75,1:18,EVEN
2,MSU,10,Miss,-74.75,7.25,0:57,EVEN
2,MSU,18,Shot,-64.25,3.25,0:01,EVEN
